Rank,Name,RR,II,GI,BHS,TOT
1,ayurv srivastaava,11.1,11.1,11.1,11.1,11.1
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
1,a,1,1,1,1,2
